folio_vivienda,folio_habitante,parentesco,jefe_hogar_asignacion_artificial,jefe_hogar_fuente,edad,sexo_nacimiento,estado_civil,personas_en_vivienda,tenencia_vivienda,ingreso_mensual_hogar,n_autos_camionetas,tiene_internet,weekend_mode_auto_particular,weekend_mode_camion_autobus,weekend_mode_a_pie,salio_casa_ayer,weekend_dest_visitar,weekend_dest_compras_bienes_servicios,centralidad,ageb,escolaridad,ultimo_estudio_jefe_hogar,prob_education_no_estudio,prob_education_primaria_completa,prob_education_secundaria_completa,prob_education_carrera_tecnica,prob_education_preparatoria_completa,prob_education_licenciatura_completa,prob_education_posgrado,puntos_ultimo_estudio_jefe_hogar,modelo_puntos_ultimo_estudio_jefe_hogar
11188,2,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11189,1,Jefe del hogar,Jefe del hogar,observado,43.0,Hombres,Casado,3,Propia,"$10,001 y $15,000",1,No,Sí,Sí,Sí,Sí,Sí,Sí,01,1412000013819,Maestría o doctorado,Posgrado,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85,85.0
11189,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11189,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11190,1,Jefe del hogar,Jefe del hogar,observado,33.0,Hombres,Casado,3,Propia,No quiso responder,0,Sí,No,Sí,Sí,Sí,No,No,01,1412000012115,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
11190,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11191,1,Jefe del hogar,Jefe del hogar,observado,66.0,Mujeres,Viudo,3,Propia,"$3,001 y $7,000",0,Sí,No,Sí,Sí,Sí,Sí,Sí,01,1412000013819,Primaria,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,11.0
11191,2,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11192,1,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11192,2,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11192,3,Jefe del hogar,Jefe del hogar,observado,45.0,Hombres,Casado,3,Propia,No quiso responder,1,Sí,Sí,Sí,No,Sí,No,Sí,01,1412000015139,Licenciatura o profesional,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59,59.0
11193,1,Jefe del hogar,Jefe del hogar,observado,69.0,Mujeres,Casado,10 y +,Propia,No quiso responder,0,No,No,Sí,Sí,Sí,Sí,Sí,01,1412000014291,Ninguno,No estudió,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
11193,2,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11193,3,Sin parentesco,Sin parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11193,4,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11193,5,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11193,6,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11193,7,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11193,8,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11193,9,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11194,1,Jefe del hogar,Jefe del hogar,observado,49.0,Hombres,Casado,4,Rentada,No quiso responder,1,Sí,Sí,No,No,Sí,Sí,Sí,01,1412000015143,Licenciatura o profesional,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59,59.0
11194,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11194,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11194,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11195,1,Jefe del hogar,Jefe del hogar,observado,43.0,Mujeres,Divorciado,5,Propia,"$7,001 y $10,000",1,Sí,No,Sí,Sí,Sí,Sí,Sí,01,1412000013787,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
11195,2,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
