Folio Vivienda,Fecha,Municipio,AGEB,Centralidad,"En su opinión, ¿Cuál es el principal problema de movilidad en sus traslados en la zona donde vive?","Y con respecto al TRANSPORTE PÚBLICO, ¿Cuál considera que es el principal problema de la zona donde vive?","Incluyéndolo, ¿cuántas personas viven permanentemente en su vivienda contando a los bebés y personas adultas mayores?",Esta casa es?,¿Ingresos mensuales de todas las personas que habitan en la vivienda y aportan gastos al hogar?,¿Cuántos ... tienen en esta vivienda? | Vehículos (autos o camionetas),¿Cuántos ... tienen en esta vivienda? | Motocicletas o motonetas,¿Cuántos ... tienen en esta vivienda? | Bicicletas,¿Dónde estacionan los vehículos?,Persona del hogar que fue el informante principal,¿En su vivienda tienen acceso a internet?,"En su hogar, ¿Estarían dispuestos a participar en este mismo tipo de estudio en el futuro?",Ponderador
17513,27-Apr-23,Tlajomulco,1409700053147,59,,,1,Propia,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,19
17515,27-Apr-23,Tlajomulco,1409700053147,59,,,2,Rentada,No quiso responder,0,0,0,,Otro parentesco,Sí,No,19
17516,27-Apr-23,Ixtlahuacán de los Membrillos,1404400010295,04,Falta de ciclovías,El costo del viaje,3,Rentada,"$7,001 y $10,000",0,0,0,,Cónyuge,Sí,No,10
17517,27-Apr-23,Tlajomulco,1409700053147,59,,,2,Otros,No quiso responder,0,0,0,,Jefe del hogar,No,No,19
17520,27-Apr-23,Ixtlahuacán de los Membrillos,1404400010295,04,Calles inundadas,La distancia a las paradas,4,Propia,"Más de $25,001",0,0,0,,Cónyuge,Sí,No,10
17522,28-Apr-23,Tlajomulco,1409700053575,59,Insuficiente transporte público,El sobrecupo de personas en las unidades del transporte,7,Hipotecada,No quiso responder,0,0,0,,Jefe del hogar,No,No,19
17525,28-Apr-23,Tlajomulco,1409700053575,59,Insuficiente transporte público,Poca frecuencia de paso en el día,7,Rentada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,19
17526,28-Apr-23,Tlajomulco,1409700312774,51F,Insuficiente transporte público,Poca frecuencia de paso en el día,5,Prestada,No quiso responder,0,1,2,"En la calle, afuera de la casa",Cónyuge,Sí,No,10
17527,28-Apr-23,Ixtlahuacán de los Membrillos,140440026,04,Insuficiente transporte público,El costo del viaje,4,Propia,"$10,001 y $15,000",0,0,0,,Hijo,No,Sí,27
17528,28-Apr-23,Tlajomulco,1409700053575,59,Tiempos excesivos de traslado,Poca frecuencia de paso en el día,5,Rentada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,19
17531,28-Apr-23,Tlajomulco,1409700053575,59,Insuficiente transporte público,Poca frecuencia de paso en el día,6,Prestada,No quiso responder,0,0,0,,Cónyuge,Sí,No,19
17532,28-Apr-23,Tlajomulco,1409700053575,59,Insuficiente transporte público,Poca frecuencia de paso en el día,5,Prestada,No quiso responder,0,0,0,,Hijo,Sí,No,19
17533,28-Apr-23,Tlajomulco,1409700312774,51F,Tiempos excesivos de traslado,La distancia a las paradas,1,Hipotecada,No quiso responder,0,1,0,,Jefe del hogar,No,No,10
17534,28-Apr-23,Zapopan,1412000012488,24A,Pavimento deteriorado,El tiempo de duración de viaje,2,Rentada,"$15,001 y $25,000",0,0,0,,Cónyuge,Sí,No,29
17537,28-Apr-23,Tlajomulco,1409700312789,51F,Pavimento deteriorado,El sobrecupo de personas en las unidades del transporte,6,Propia,No quiso responder,0,0,2,En la cochera de la casa,Jefe del hogar,Sí,No,10
17539,28-Apr-23,Tlajomulco,1409700150227,51F,Insuficiente transporte público,El tiempo de duración de viaje,2,Propia,No quiso responder,0,0,0,,Jefe del hogar,No,Sí,10
17540,28-Apr-23,Tlajomulco,1409700053575,59,Insuficiente transporte público,Poca frecuencia de paso en el día,3,Prestada,No quiso responder,0,0,0,,Cónyuge,Sí,No,19
17542,28-Apr-23,Zapopan,1412000012488,24A,Tiempos excesivos de traslado,El tiempo de duración de viaje,5,Propia,"$15,001 y $25,000",0,0,0,,Jefe del hogar,Sí,No,29
17543,28-Apr-23,Tlajomulco,1409700312774,51F,,,2,Rentada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,10
17544,28-Apr-23,Tlajomulco,1409700312789,51F,Falta de cruces peatonales,El sobrecupo de personas en las unidades del transporte,7,Rentada,No quiso responder,0,1,1,En la cochera de la casa,Jefe del hogar,Sí,No,10
17545,28-Apr-23,Tlajomulco,140970123,51F,,,3,Propia,No quiso responder,0,0,1,,Jefe del hogar,No,No,10
17547,28-Apr-23,Tlajomulco,1409700053575,59,Insuficiente transporte público,Poca frecuencia de paso en el día,5,Hipotecada,No quiso responder,0,0,0,,Cónyuge,No,No,19
17548,28-Apr-23,Tlajomulco,1409700050335,59,Insuficiente transporte público,Poca frecuencia de paso en la noche,3,Rentada,No quiso responder,0,0,0,,Hijo,Sí,No,19
17549,28-Apr-23,Tlajomulco,1409700312774,51F,,,3,Prestada,No quiso responder,0,0,0,,Cónyuge,Sí,No,10
17553,28-Apr-23,Tlajomulco,1409700312774,51F,,,2,Rentada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,10
17554,28-Apr-23,Tlajomulco,1409700053575,59,Insuficiente transporte público,Poca frecuencia de paso en el día,6,Prestada,No quiso responder,0,0,0,,Hijo,Sí,No,19
17555,28-Apr-23,Tlajomulco,1409700050335,59,Insuficiente transporte público,Trato del/de la chofer,5,Hipotecada,No quiso responder,0,0,0,,Cónyuge,No,No,19
17556,28-Apr-23,Tlajomulco,140970123,51F,,,4,Propia,No quiso responder,0,0,0,,Jefe del hogar,No,No,10
17557,28-Apr-23,Tlajomulco,1409700312774,51F,Insuficiente transporte público,El sobrecupo de personas en las unidades del transporte,6,Propia,"$3,001 y $7,000",0,0,0,,Cónyuge,Sí,No,10
17559,28-Apr-23,Tlajomulco,1409700150960,51F,Congestionamiento,La distancia a las paradas,2,Propia,No quiso responder,0,0,0,En la cochera de la casa,Cónyuge,Sí,No,10
